Inclusion,Heat1,Heat2,Heat3,Heat4,Heat5,Heat6
1,	7.5,	10.4,	16.7,	20.2,	16.7,	24.8
2,	8.1,	11.0,	19.0,	20.8,	21.4,	36.9
3,	8.7,	11.5,	19.6,	24.8,	25.4,	39.2
4,	10.4,	11.5,	20.2,	26.0,	26.0,	43.9
5,	11.6,	12.1,	20.2,	31.2,	26.5,	57.1
6,	12.1,	12.7,	20.8,	31.7,	31.2,	60.6
7,	12.1,	12.7,	20.8,	31.7,	31.7,	64.0
8,	12.1,	13.3,	21.4,	32.9,	34.0,	64.0
9,	12.7,	13.3,	22.5,	32.9,	34.6,	64.6
10,	14.4,	13.3,	23.1,	32.9,	35.2,	65.8
11,	15.0,	14.4,	23.7,	33.45,	35.2,	69.8
12,	15.0,	14.4,	24.2,	34.0,	39.2,	69.8
13,	17.3,	14.4,	24.8,	34.6,	40.4,	71.0
14,	19.0,	15.0,	25.4,	35.2,	45.0,	72.1
15,	21.9,	16.2,	30.0,	35.8,	46.2,	73.3
16,	22.5,	16.2,	30.0,	35.8,	46.7,	75.0
17,	23.7,	16.2,	31.7,	39.8,	47.9,	75.0
18,	26.5,	17.9,	32.3,	39.8,	48.5,	76.2
19,	30.0,	17.9,	34.0,	41.5,	49.0,	77.9
20,	31.7,	17.9,	35.2,	43.3,	50.8,	77.9
21,	32.9,	17.9,	38.1,	46.2,	73.0,	78.5
22,	38.1,	22.6,	42.7,	49.0,	80.2,	79.0
23,	38.7,	24.2,	48.5,	53.1,	80.8,	79.6
24,	40.4,	29.4,	52.5,	53.7,	93.5,	83.1
